timestamp_lectura,id_maquina,rpm,vibracion_mms,temp_c,corriente_motor_a,etiqueta_prediccion
2026-06-17 20:26:27,maq-cnc-01,1438.12,8.4,68.42,11.59,0
2026-06-17 20:26:29,maq-cnc-01,1435.28,8.11,67.96,11.7,0
2026-06-17 20:26:31,maq-cnc-01,1439.88,7.87,67.32,11.6,0
2026-06-17 20:26:33,maq-cnc-01,1443.97,8.03,66.8,11.53,0
2026-06-17 20:26:35,maq-cnc-01,1443.62,8.35,66.64,12.0,0
2026-06-17 20:26:37,maq-cnc-01,1448.3,8.2,68.13,11.84,0
2026-06-17 20:26:39,maq-cnc-01,1451.13,8.56,68.8,11.87,0
2026-06-17 20:26:41,maq-cnc-01,1455.43,8.02,66.36,11.75,0
2026-06-17 20:26:43,maq-cnc-01,1459.23,8.37,67.61,11.77,0
2026-06-17 20:26:45,maq-cnc-01,1459.28,8.74,68.03,12.03,0
2026-06-17 20:26:47,maq-cnc-01,1463.64,8.0,67.31,11.78,0
2026-06-17 20:26:49,maq-cnc-01,1464.45,8.49,67.49,11.98,0
2026-06-17 20:26:51,maq-cnc-01,1466.85,8.76,68.69,11.86,0
2026-06-17 20:26:53,maq-cnc-01,1469.34,8.74,67.31,12.15,0
2026-06-17 20:26:55,maq-cnc-01,1467.53,8.21,67.31,11.7,0
2026-06-17 20:26:57,maq-cnc-01,1470.69,8.93,68.11,12.11,0
2026-06-17 20:26:59,maq-cnc-01,1470.15,8.99,68.82,11.97,0
2026-06-17 20:27:01,maq-cnc-01,1468.27,8.72,68.38,11.91,0
2026-06-17 20:27:03,maq-cnc-01,1471.13,9.03,68.39,11.99,0
2026-06-17 20:27:05,maq-cnc-01,1471.29,9.07,67.75,12.27,0
2026-06-17 20:27:07,maq-cnc-01,1467.33,8.94,68.51,12.17,0
2026-06-17 20:27:09,maq-cnc-01,1462.91,8.46,68.44,11.89,0
2026-06-17 20:27:11,maq-cnc-01,1461.47,9.15,68.25,12.26,0
2026-06-17 20:27:13,maq-cnc-01,1465.58,8.55,67.12,12.16,0
2026-06-17 20:27:15,maq-cnc-01,1467.23,8.51,67.08,12.0,0
2026-06-17 20:27:17,maq-cnc-01,1464.85,9.1,69.06,12.25,0
2026-06-17 20:27:19,maq-cnc-01,1460.08,8.52,67.22,12.1,0
2026-06-17 20:27:21,maq-cnc-01,1459.81,8.7,67.57,12.03,0
2026-06-17 20:27:23,maq-cnc-01,1458.08,9.14,68.37,12.15,0
2026-06-17 20:27:25,maq-cnc-01,1463.0,8.88,68.34,12.2,0
2026-06-17 20:27:27,maq-cnc-01,1462.16,8.39,67.29,12.06,0
2026-06-17 20:27:29,maq-cnc-01,1465.55,8.79,68.3,12.26,0
2026-06-17 20:27:31,maq-cnc-01,1462.12,8.97,68.42,12.39,0
2026-06-17 20:27:33,maq-cnc-01,1459.18,8.41,67.91,12.15,0
2026-06-17 20:27:35,maq-cnc-01,1462.09,8.48,67.1,12.1,0
2026-06-17 20:27:37,maq-cnc-01,1460.63,9.39,69.68,12.36,0
2026-06-17 20:27:39,maq-cnc-01,1465.24,9.19,68.11,12.23,0
2026-06-17 20:27:41,maq-cnc-01,1464.71,8.81,68.65,12.23,0
2026-06-17 20:27:43,maq-cnc-01,1461.16,9.19,68.12,12.29,0
2026-06-17 20:27:45,maq-cnc-01,1462.1,8.57,68.07,12.32,0
